title	alternate_titles	description	game_id	genres	moby_score	moby_url	num_votes	official_url	platforms	sample_screenshots	sample_cover.height	sample_cover.image	sample_cover.platforms	sample_cover.thumbnail_image	sample_cover.width
Armor Battle	Atari 2600 Title: Armor Ambush	<p>Armor Ambush (aka <em>Armor Battle</em>) is a two player game, where each player is in command of two tanks (one at a time), and they must try to destroy each other.</p> <p>The battlefields constantly change, so no battle is ever the same. Tanks move at average speed on grass, fast on roads, slow through trees, and slowest through water.</p> <p>Tanks will explode after three direct hits. The Harder game mode adds ricochet shots.</p>	8883	Basic Genres: Action, Basic Genres: Racing / Driving, Perspective: Diagonal-down, Perspective: Top-down, Visual Presentation: Fixed / flip-screen, Interface/Control: Direct control, Vehicular Themes: Tank	5.8	https://www.mobygames.com/game/8883/armor-battle/	23		Windows (2010-03-24), Atari 2600 (1982-09), Intellivision (1979), Xbox 360 (2010-03-24)	[{'caption': 'A game in progress', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1803783-armor-battle-intellivision-a-game-in-progress.png', 'thumbnail_image': 'https://cdn.mobygames.com/6383d0e4-ab78-11ed-b9d3-02420a00019b.webp', 'width': 320}, {'caption': 'Just blew up a tank', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1803999-armor-battle-intellivision-just-blew-up-a-tank.png', 'thumbnail_image': 'https://cdn.mobygames.com/64203d3a-ab78-11ed-b9d3-02420a00019b.webp', 'width': 320}, {'caption': 'Title screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1803571-armor-battle-intellivision-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/62f83e8a-ab78-11ed-b9d3-02420a00019b.webp', 'width': 320}, {'caption': 'The scoreboard', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1803440-armor-battle-atari-2600-the-scoreboard.png', 'thumbnail_image': 'https://cdn.mobygames.com/62a29340-ab78-11ed-b9d3-02420a00019b.webp', 'width': 320}, {'caption': 'The blue tank going in for the kill...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1803316-armor-battle-atari-2600-the-blue-tank-going-in-for-the-kill.png', 'thumbnail_image': 'https://cdn.mobygames.com/6250fc10-ab78-11ed-b9d3-02420a00019b.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/4096801-armor-battle-intellivision-front-cover.jpg	['Intellivision']	https://cdn.mobygames.com/b36e7190-aba5-11ed-bc1c-02420a00019a.webp	564
Asteroids	Brazilian Polyvox release: Asteroids (Asteróides), Turkish title: Meteorlar Geliyor	<p>Play the role of a spaceship pilot trapped in a gigantic asteroid cloud and pulverize incoming asteroids with the ship's photon cannon. When all asteroids are destroyed, the player can then move on to the next round. In addition to the asteroids, the player will also face an Alien Robot Saucer which shoots randomly across the screen.</p> <p>The player using the controller may rotate the ship (left or right) in any direction or move the ship forward. Shots will be fired according to the ship's direction. The player has three reserved ships available to replace a destroyed spaceship. The spaceship is destroyed if an asteroid collides with the spaceship or is shot by an Alien Robot Saucer. Additionally, the player may opt to use the hyperspace warp to avoid a collision. The warp, however, may also destroy the spaceship in the process.</p> <p>Asteroids when shot will break up into smaller pieces or be destroyed. There are three types of asteroids: large asteroids, medium asteroids, and small asteroids. Large asteroids and medium asteroids when shot will break up into two smaller sized asteroids. Small asteroids when shot will be destroyed. </p> <p>Alien Robot Saucers come in two sizes: small and large. Both use photon lasers to shoot and will explode when destroyed. Alien Robot Saucers will not appear at the Novice Level.</p> <p><strong>Game Difficulty and Variations</strong>  </p> <p>There are 4 available difficulty settings: Novice, Intermediate, Advanced, and Expert. </p> <p>The game also offers three different game variations:</p> <ul> <li> <p><strong>Standard Play</strong> - For one or two players, taking turns when a player's ship is destroyed.</p> </li> <li> <p><strong>Competition Asteroids</strong> - Two players appear on the screen at the same time. Friendly fire is in affect, which means shots fired from one player's spaceship will destroy the other player's spaceship. Each player has separate ship reserves.</p> </li> <li> <p><strong>Team Asteroids</strong> - Two players on the screen at the same time. Friendly fire is disabled, which means shots fired from one player's spaceship will not destroy the other player's spaceship and just pass through. Ship reserves for both players are combined.</p> </li> </ul> <p><strong>Scoring</strong>  </p> <p>The score of the Player 1 is viewable on the upper left side of the screen, while Player 2 on the opposite upper right side. A player will be awarded a new reserve ship for every 10,000 points.</p> <ul> <li>Small saucer - 1,000 points</li> <li>Other player's ship - 500 points</li> <li>Large saucer - 200 points</li> <li>Small asteroid - 100 points</li> <li>Medium asteroid - 50 points</li> <li>Large asteroid - 20 points</li> </ul>	8872	Basic Genres: Action, Perspective: Top-down, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Gameplay: Shooter, Interface/Control: Direct control, Vehicular Themes: Space flight, Setting: Sci-fi / futuristic	7.0	https://www.mobygames.com/game/8872/asteroids/	124		Windows (2010-05-19), Game Boy (1992-02), Atari 2600 (1981), Atari 7800 (1987), Atari 8-bit (1981), Xbox 360 (2010-05-19), Arcade (1979-11), Antstream (2020-05-05)	[{'caption': 'Game starts', 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/16421042-asteroids-arcade-game-starts.png', 'thumbnail_image': 'https://cdn.mobygames.com/2f7a9710-c216-11ed-ab6b-02420a000194.webp', 'width': 640}, {'caption': 'Title screen', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/3410510-asteroids-atari-8-bit-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/bae94d76-ab8e-11ed-aa5a-02420a0001a0.webp', 'width': 336}, {'caption': 'A game in progress', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1841815-asteroids-atari-7800-a-game-in-progress.png', 'thumbnail_image': 'https://cdn.mobygames.com/bd621d50-ab78-11ed-8bb9-02420a000197.webp', 'width': 320}, {'caption': 'Watch out for that flying saucer!', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1842214-asteroids-atari-7800-watch-out-for-that-flying-saucer.png', 'thumbnail_image': 'https://cdn.mobygames.com/be453b76-ab78-11ed-8bb9-02420a000197.webp', 'width': 320}, {'caption': '1 coin 1 play', 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/16424060-asteroids-arcade-1-coin-1-play.png', 'thumbnail_image': 'https://cdn.mobygames.com/16eb6052-c217-11ed-ab6b-02420a000194.webp', 'width': 640}]	800	https://cdn.mobygames.com/covers/3915758-asteroids-atari-2600-front-cover.jpg	['Atari 2600']	https://cdn.mobygames.com/70412fee-ab9f-11ed-8d2b-02420a00019e.webp	582
Basic Math	Title on the end label of original release: 61 Basic Math, Alternate release: Fun With Numbers, Sears Tele-Games release: Math	<p><em>Basic Math</em> is a math game for children.</p> <p>Each game gives the player a set of ten basic math problems (i.e. simple addition, subtraction, multiplication, or division) to solve. The player is presented with two numbers and a function, then inputs the answer by cycling through numbers with the joystick. A timer option is available to ramp up the difficulty. The game has eight primary game settings - basically two settings for each mathematical function. Games 1-4 allow the player to select one of the numbers the player will be working with, while 5-8 give random questions. </p> <p>Hint: For division problems that have a remainder make sure to put a space between the whole number and the remainder, which goes to the right.</p>	8843	Basic Genres: Educational, Perspective: Text-based / Spreadsheet, Visual Presentation: Fixed / flip-screen, Interface/Control: Menu structures, Educational Categories: Math / logic	4.5	https://www.mobygames.com/game/8843/basic-math/	26		Atari 2600 (1977)	[{'caption': 'The game in black and white mode', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1972205-basic-math-atari-2600-the-game-in-black-and-white-mode.png', 'thumbnail_image': 'https://cdn.mobygames.com/f93eef1e-ab79-11ed-b721-02420a00019b.webp', 'width': 320}, {'caption': 'Multiplication', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1972045-basic-math-atari-2600-multiplication.png', 'thumbnail_image': 'https://cdn.mobygames.com/f8ee2b7e-ab79-11ed-b721-02420a00019b.webp', 'width': 320}, {'caption': 'Division', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1971810-basic-math-atari-2600-division.png', 'thumbnail_image': 'https://cdn.mobygames.com/f8704fc4-ab79-11ed-b721-02420a00019b.webp', 'width': 320}, {'caption': 'Addition', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1971680-basic-math-atari-2600-addition.png', 'thumbnail_image': 'https://cdn.mobygames.com/f82b077a-ab79-11ed-b721-02420a00019b.webp', 'width': 320}]	200	https://cdn.mobygames.com/screenshots/1971680-basic-math-atari-2600-addition.png	['Atari 2600']	https://cdn.mobygames.com/f82b077a-ab79-11ed-b721-02420a00019b.webp	320
Battlezone		<p>Commonly considered the earliest progenitor of first-person shooters (FPS), <em>Battlezone</em> is a 3D tank game initially released in the arcades, and later converted officially to many systems. Earth has been invaded, and you and your tank lead the defensive effort. You drive around the battlefield from a first-person view, targeting and firing at tanks, planes and UFOs. You have a radar to help you see where the enemies are in direction and distance. Objects can be used as strategic cover. Controls simulate the tracks of a tank realistically, so the direction and speed settings are varied - combining forward right and backward left movements (as you can on keyboard versions) sees you change direction more quickly.</p>	360	Basic Genres: Action, Perspective: 1st-person, Gameplay: Arcade, Gameplay: Shooter, Interface/Control: Direct control, Vehicular Themes: Tank, Vehicular Themes: Vehicular combat, Setting: Sci-fi / futuristic	6.9	https://www.mobygames.com/game/360/battlezone/	79		Windows (2010-05-12), PC Booter (1983), Atari ST (1986), Commodore 64 (1984-06), Atari 2600 (1983-08), Apple II (1984-04), Atari 8-bit (1988-01), ZX Spectrum (1984-09), VIC-20 (1984-04), Xbox 360 (2010-05-12), Arcade (1980-11), Antstream (2020-03-17)	[{'caption': 'Got the saucer!', 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/16791571-battlezone-arcade-got-the-saucer.png', 'thumbnail_image': 'https://cdn.mobygames.com/d64297ca-c381-11ed-9226-02420a000121.webp', 'width': 640}, {'caption': 'A game in progress', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/2012956-battlezone-atari-st-a-game-in-progress.png', 'thumbnail_image': 'https://cdn.mobygames.com/5eef2c48-ab7a-11ed-8ed2-02420a0001a0.webp', 'width': 320}, {'caption': 'Some tanks in sight', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/2010140-battlezone-atari-2600-some-tanks-in-sight.png', 'thumbnail_image': 'https://cdn.mobygames.com/586b9b04-ab7a-11ed-ba50-02420a000199.webp', 'width': 320}, {'caption': 'Enemy in range...', 'height': 265, 'image': 'https://cdn.mobygames.com/screenshots/2011404-battlezone-vic-20-enemy-in-range.png', 'thumbnail_image': 'https://cdn.mobygames.com/5b506656-ab7a-11ed-8e21-02420a00019b.webp', 'width': 384}, {'caption': 'Taking shots at the enemy.', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/5135863-battlezone-pc-booter-taking-shots-at-the-enemy.png', 'thumbnail_image': 'https://cdn.mobygames.com/f4d75ba4-abcf-11ed-b721-02420a00019b.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/5232941-battlezone-pc-booter-front-cover.jpg	['PC Booter']	https://cdn.mobygames.com/6c75d74e-abd5-11ed-9377-02420a000197.webp	586
Beamrider	alternate box title: Dave Rolfe's Beamrider	<p><em>Beamrider</em> is a 3D arcade action game. You control a beam riding spaceship on a mission to clear 99 sectors of space from hostile aliens. The spaceship is located at the bottom of the screen and it can only stop on one of five beams. You are armed with both lasers and torpedoes; torpedoes are more powerful and can destroy more enemies compared to lasers, however you only get three per level. To complete a sector, you need to destroy fifteen white flying saucers. After all saucers are destroyed, the sector sentinel passes by which can be destroyed for extra points. Each even number sector up until sector 16 will add a new type of enemy to deal with. These additional enemies will just try to slow your mission, though, only the saucers need to be destroyed to advance. Occasionally a rejeuvinator will appear; if this is collected, you can earn an extra life. But be careful, because if you accidentally shoot the rejeuvinator it will turn into an enemy!</p>	8929	Basic Genres: Action, Perspective: Behind view, Gameplay: Arcade, Gameplay: Shooter, Vehicular Themes: Space flight, Setting: Sci-fi / futuristic	6.9	https://www.mobygames.com/game/8929/beamrider/	42		Windows (2010-08-04), Commodore 64 (1984-06), Atari 2600 (1984-03), ColecoVision (1984-05), Intellivision (1983-09), Atari 5200 (1984-10), Atari 8-bit (1984-08), ZX Spectrum (1984-10), MSX (1984-09), Xbox 360 (2010-08-04)	[{'caption': 'The end of level sentinel', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/91363-beamrider-atari-5200-the-end-of-level-sentinel.png', 'thumbnail_image': 'https://cdn.mobygames.com/95d95bfe-ab69-11ed-80c1-02420a000196.webp', 'width': 336}, {'caption': 'A game in progress', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/413604-beamrider-colecovision-a-game-in-progress.png', 'thumbnail_image': 'https://cdn.mobygames.com/e69d74d2-ab6c-11ed-b6ec-02420a00019b.webp', 'width': 256}, {'caption': 'In the space station between levels', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/375217-beamrider-commodore-64-in-the-space-station-between-levels.png', 'thumbnail_image': 'https://cdn.mobygames.com/99b40f64-ab6c-11ed-9505-02420a00019c.webp', 'width': 320}, {'caption': 'Ready to begin the next level', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/411831-beamrider-colecovision-ready-to-begin-the-next-level.png', 'thumbnail_image': 'https://cdn.mobygames.com/e325b79c-ab6c-11ed-9d05-02420a000198.webp', 'width': 256}, {'caption': 'A game in progress', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/383714-beamrider-commodore-64-a-game-in-progress.png', 'thumbnail_image': 'https://cdn.mobygames.com/aad2f6de-ab6c-11ed-a061-02420a00019d.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/3921234-beamrider-intellivision-front-cover.jpg	['Intellivision']	https://cdn.mobygames.com/a0c915aa-ab9f-11ed-aecf-02420a000198.webp	572
Berzerk		<p>You have been sent into a building infested with robots, and must do your best to clear it out. Each room has a number of walls through the middle, which restricts your movement. There will be a number of bad guys in the room - on early screens they may be immobile and not shoot at you, but after a few levels, they become capable of shooting in multiple directions. You can shoot at them in 8 directions, but can't shoot diagonally while moving. There are gaps at the side of each room, through which you exit, before or after clearing the room (there is a bonus for clearance). You get an extra life every 2000 points.</p>	8847	Basic Genres: Action, Perspective: Top-down, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Gameplay: Shooter, Setting: Sci-fi / futuristic	7.4	https://www.mobygames.com/game/8847/berzerk/	66		Atari 2600 (1982), Atari 5200 (1984-02), Vectrex (1982), Arcade (1980), Antstream (2024-04-30)	"[{'caption': ""Don't touch the walls."", 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/16360122-berzerk-arcade-dont-touch-the-walls.png', 'thumbnail_image': 'https://cdn.mobygames.com/fc52ca22-c203-11ed-ab6b-02420a000194.webp', 'width': 256}, {'caption': 'Here comes Evil Otto...', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/203166-berzerk-atari-5200-here-comes-evil-otto.png', 'thumbnail_image': 'https://cdn.mobygames.com/31fe58da-ab6b-11ed-bc1c-02420a00019a.webp', 'width': 336}, {'caption': 'Keep blasting.', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/16360233-berzerk-arcade-keep-blasting.png', 'thumbnail_image': 'https://cdn.mobygames.com/036a035c-c204-11ed-ab6b-02420a000194.webp', 'width': 256}, {'caption': ""There's a lot of robots here..."", 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/15639495-berzerk-vectrex-theres-a-lot-of-robots-here.png', 'thumbnail_image': 'https://cdn.mobygames.com/1a68af2e-bded-11ed-b791-02420a0001bb.webp', 'width': 360}, {'caption': 'A High Score.', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/16360188-berzerk-arcade-a-high-score.png', 'thumbnail_image': 'https://cdn.mobygames.com/00ad8012-c204-11ed-ab6b-02420a000194.webp', 'width': 256}]"	800	https://cdn.mobygames.com/covers/4182448-berzerk-atari-2600-front-cover.jpg	['Atari 2600']	https://cdn.mobygames.com/c7f38f94-aba8-11ed-8b70-02420a00019a.webp	590
Boulder Dash	Prism Leisure distributed title: Boulder Dash - Starring: Rockford, iPhone title: Boulder Dash Vol. 1, Japan and Middle East MSX title: Champion Boulder Dash	<p>You are Rockford, and you have to dig through monster infested caves in search of diamonds. In each level you must collect a certain number of these diamonds, in order to open a portal to the next stage. Enemies can be squashed by falling boulders, which are released when the ground below them is removed or they are pushed onto empty ground, but be careful because these can also squash you. In later levels, difficulty is increased by many puzzle elements and shorter time limits.</p> <p>There are 16 levels to be completed and five different skill levels available, which affect the number of jewels which must be collected and the time limit.</p>	4632	Basic Genres: Action, Perspective: Side view, Visual Presentation: 2D scrolling, Gameplay: Arcade, Gameplay: Puzzle elements, Interface/Control: Direct control	7.6	https://www.mobygames.com/game/4632/boulder-dash/	144		PC Booter (1984), Game Boy (1990), NES (1990), Commodore 64 (1984), Atari 2600 (2012-06), ColecoVision (1984-12), Intellivision (2015-03-18), Apple II (1984-11), Atari 8-bit (1984-02), ZX Spectrum (1984), MSX (1985), Amstrad CPC (1985-08), Wii (2008-09-19), iPhone (2009-05-17), BBC Micro (1988), Electron (1988), PC-88 (1984-10), FM-7 (1984-11), Epoch Super Cassette Vision (1985), Arcade (1984), Antstream (2020-04-29)	"[{'caption': 'I found the exit, but accidentally blocked it with boulders!', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/5153183-boulder-dash-atari-8-bit-i-found-the-exit-but-accidentally-block.png', 'thumbnail_image': 'https://cdn.mobygames.com/eb62046a-abd0-11ed-a519-02420a00019d.webp', 'width': 336}, {'caption': ""The slime isn't deadly, but grows quickly and takes up space"", 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/5152777-boulder-dash-atari-8-bit-the-slime-isnt-deadly-but-grows-quickly.png', 'thumbnail_image': 'https://cdn.mobygames.com/e5a56bd4-abd0-11ed-a519-02420a00019d.webp', 'width': 336}, {'caption': 'First world gameplay', 'height': 144, 'image': 'https://cdn.mobygames.com/screenshots/16054543-boulder-dash-game-boy-first-world-gameplay.png', 'thumbnail_image': 'https://cdn.mobygames.com/63e8fe94-bf3a-11ed-9c42-02420a000140.webp', 'width': 160}, {'caption': 'Title screen', 'height': 480, 'image': 'https://cdn.mobygames.com/screenshots/1262180-boulder-dash-nes-title-screen.jpg', 'thumbnail_image': 'https://cdn.mobygames.com/a827a84c-ab73-11ed-9d05-02420a000198.webp', 'width': 640}, {'caption': 'Level 1', 'height': 240, 'image': 'https://cdn.mobygames.com/screenshots/15681505-boulder-dash-msx-level-1.png', 'thumbnail_image': 'https://cdn.mobygames.com/c1f80782-bec2-11ed-9c42-02420a000140.webp', 'width': 320}]"	800	https://cdn.mobygames.com/covers/972126-boulder-dash-zx-spectrum-front-cover.jpg	['ZX Spectrum']	https://cdn.mobygames.com/58c6357c-ab71-11ed-8bed-02420a00019f.webp	511
Breakout	Sears Tele-Games release: Breakaway IV, Video Games GmbH German release: Crash, Universal Japanese standing cabinet release: Scratch!, Taito Japanese release (cabinet): Super Block, Windows tag-lined title: Super Breakout: Classic Play/All New Way!, Taito Japanese release (cocktail table): T.T. Block, Universal Japanese cocktail cabinet release: Table Scratch	<p>In <em>Breakout</em>, there is a wall of bricks along the top of the screen and your goal is to destroy the entire wall one brick at a time! To do this, you control a paddle at the bottom of the screen which is used to reflect a bouncing ball into the bricks. When the ball hits a brick, it will destroy it. You start with five balls, and the game ends when all five fall off the bottom of the screen. Also included are several game variations, including breakthru (the ball will go straight through bricks instead of bouncing back), timed breakout (you have a time limit to gain as many points as you can), and invisible breakout (the bricks are only visible for a short while after one of them is hit). Other variations allow you to catch the ball or control the direction of the ball.</p>	9001	Basic Genres: Action, Perspective: Side view, Visual Presentation: Fixed / flip-screen, Gameplay: Arcade, Gameplay: Paddle / Pong, Interface/Control: Direct control	6.4	https://www.mobygames.com/game/9001/breakout/	48		Windows (2010-10-27), Atari 2600 (1978), Xbox 360 (2010-10-27), Arcade (1976-04), Antstream (2022-05-31), Atari VCS (2022-03-18)	[{'caption': 'Use the paddle to break the blocks with the ball.', 'height': 419, 'image': 'https://cdn.mobygames.com/screenshots/16431056-breakout-arcade-use-the-paddle-to-break-the-blocks-with-the-ball.png', 'thumbnail_image': 'https://cdn.mobygames.com/f9c0a5e4-c218-11ed-ab6b-02420a000194.webp', 'width': 289}, {'caption': 'Smashing through bricks...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1285849-breakout-atari-2600-smashing-through-bricks.png', 'thumbnail_image': 'https://cdn.mobygames.com/d91d4e98-ab73-11ed-aa5a-02420a0001a0.webp', 'width': 320}, {'caption': 'Starting.', 'height': 419, 'image': 'https://cdn.mobygames.com/screenshots/16407503-breakout-arcade-starting.png', 'thumbnail_image': 'https://cdn.mobygames.com/039aa3f0-c212-11ed-ab6b-02420a000194.webp', 'width': 289}, {'caption': 'Just started a new game', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1285752-breakout-atari-2600-just-started-a-new-game.png', 'thumbnail_image': 'https://cdn.mobygames.com/d8e976ea-ab73-11ed-aa5a-02420a0001a0.webp', 'width': 320}, {'caption': 'Game demo mode', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1285626-breakout-atari-2600-game-demo-mode.png', 'thumbnail_image': 'https://cdn.mobygames.com/d8aef3c6-ab73-11ed-aa5a-02420a0001a0.webp', 'width': 320}]	800	https://cdn.mobygames.com/covers/3925183-breakout-atari-2600-front-cover.jpg	['Atari 2600']	https://cdn.mobygames.com/c386fdaa-ab9f-11ed-9505-02420a00019c.webp	582
Buck Rogers: Planet of Zoom	Unlicenced Arcade Title: Zoom 909, Japanese SG-1000 title: Zoom 909	<p><em>Buck Rogers: Planet of Zoom</em> is a single player science fiction themed obstacle race, where the player controls Buck Rogers' space ship and must guide it through multiple pairs of pylons throughout the game. Controlling the ship involves side scrolling to the left or right, stop, moving forward (and faster), and moving backwards/break (and slower). Additionally, the spaceship can also fire its weapon to unleash a pair of energy bolts.</p> <p>The player starts in sector 1.0 and will finish this level after the player successfully goes between an allocated number of pylons, indicated at the top left side of the screen; the first requirement is 9 pylons and will gradually increase with each new sector. In sector 1.1., with the addition of having to complete the pylon requirement, a group of flying saucers, ranging from 1 to 4 (per group), fly in a pattern. The player must avoid these flying saucers by maneuvering out of their way or by shooting them down. In sector 1.3., a new type of robot spaceship (at least one) will fly erratically and attempt to crash into the player's space ship (due to the marvel of technology of that era, enemy ships that disappear from one side of the screen, will emerge on the other side of the screen). Later sectors will gradually introduce more difficult challenges.</p> <p>The game ends when the player loses all three lives by crashing into (or being crashed by, it seems sometimes) pylons or enemy space ships. Although there is no penalty in avoiding pylons altogether, the game will also end if the allocated amount of time (indicated by a long bar at the top center screen) runs out. The player may increase speed to move faster, which will present maneuverability challenges in itself. The overall score increases by distance traveled, pylons traveled through, and enemy spaceships shot down. The latest score and the high score are saved and shown in the main menu.</p>	1813	Basic Genres: Action, Perspective: Behind view, Gameplay: Arcade, Gameplay: Shooter, Setting: Sci-fi / futuristic, Other Attributes: Licensed	6.0	https://www.mobygames.com/game/1813/buck-rogers-planet-of-zoom/	82		PC Booter (1984), Commodore 64 (1983), Atari 2600 (1983-11), ColecoVision (1984-04), Apple II (1984), Atari 5200 (1983-11), Atari 8-bit (1983-11), ZX Spectrum (1985-07), VIC-20 (1983-11), TI-99/4A (1984-02), MSX (1983), SG-1000 (1985), Arcade (1982), Coleco Adam (1983)	[{'caption': 'Title screen', 'height': 384, 'image': 'https://cdn.mobygames.com/screenshots/1430395-buck-rogers-planet-of-zoom-apple-ii-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/0cc4dc06-ab75-11ed-98cd-02420a00019e.webp', 'width': 560}, {'caption': 'A large enemy appears', 'height': 265, 'image': 'https://cdn.mobygames.com/screenshots/1431714-buck-rogers-planet-of-zoom-vic-20-a-large-enemy-appears.png', 'thumbnail_image': 'https://cdn.mobygames.com/0f493bac-ab75-11ed-98cd-02420a00019e.webp', 'width': 384}, {'caption': 'Best scores', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/16259199-buck-rogers-planet-of-zoom-arcade-best-scores.png', 'thumbnail_image': 'https://cdn.mobygames.com/941d841e-c1e1-11ed-ab6b-02420a000194.webp', 'width': 256}, {'caption': 'The Space Warp tunnel', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/9475626-buck-rogers-planet-of-zoom-coleco-adam-the-space-warp-tunnel.png', 'thumbnail_image': 'https://cdn.mobygames.com/54960cd4-ac07-11ed-87d3-02420a000134.webp', 'width': 256}, {'caption': 'Title screen', 'height': 192, 'image': 'https://cdn.mobygames.com/screenshots/16461184-buck-rogers-planet-of-zoom-sg-1000-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/b9266c22-c221-11ed-ab6b-02420a000194.webp', 'width': 256}]	800	https://cdn.mobygames.com/covers/4173657-buck-rogers-planet-of-zoom-commodore-64-front-cover.jpg	['Commodore 64']	https://cdn.mobygames.com/759fca50-aba8-11ed-b325-02420a00019e.webp	548
Bump 'N' Jump	PS4 / Switch title: Arcade Archives: Burnin' Rubber, Japanese Famicom title: Buggy Popper, Japanese title: Burnin' Rubber	<p><em>Bump 'N' Jump</em> is an action racing game played from a top down point of view. As you race through the treacherous and ever changing roadways, the numerous enemy cars will be trying to bump you off the road. You need to make sure you bump the cars out of the way before you get bumped and crash into the sides yourself! Your car also has the ability to jump quite high if you have enough speed. This is useful to jump over enemy cars if there are too many in the way, and must also be used to jump gaps in the roadway and other highway obstacles. As the levels progress, the road becomes narrower with more obstacles in the way, and the other cars increase in number and in aggressiveness.</p>	9306	Basic Genres: Racing / Driving, Perspective: Top-down, Visual Presentation: 2D scrolling, Gameplay: Arcade, Vehicular Themes: Automobile, Vehicular Themes: Track racing	7.3	https://www.mobygames.com/game/9306/bump-n-jump/	31		NES (1986-10-08), Atari 2600 (1983-11), ColecoVision (1984-06), Intellivision (1983-11), PSP (2010-06-22), PlayStation 3 (2010-06-22), PS Vita (2012-02-22), Sharp X1 (1985), PlayStation 4 (2020-09-24), Arcade (1982-11), Coleco Adam (1984-06), Sharp MZ-80K/700/800/1500 (1985), Nintendo Switch (2020-09-24), Antstream (2019)	"[{'caption': 'Title screen', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1454981-bump-n-jump-intellivision-title-screen.png', 'thumbnail_image': 'https://cdn.mobygames.com/42a7635c-ab75-11ed-9377-02420a000197.webp', 'width': 320}, {'caption': 'Title', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/1452364-bump-n-jump-nes-title.png', 'thumbnail_image': 'https://cdn.mobygames.com/3c1e85d8-ab75-11ed-a13c-02420a00019f.webp', 'width': 256}, {'caption': 'Get the ""P"" to receive more fuel', 'height': 224, 'image': 'https://cdn.mobygames.com/screenshots/1453352-bump-n-jump-nes-get-the-p-to-receive-more-fuel.png', 'thumbnail_image': 'https://cdn.mobygames.com/3e7cea54-ab75-11ed-a13c-02420a00019f.webp', 'width': 256}, {'caption': 'Racing...', 'height': 200, 'image': 'https://cdn.mobygames.com/screenshots/1454432-bump-n-jump-atari-2600-racing.png', 'thumbnail_image': 'https://cdn.mobygames.com/41407724-ab75-11ed-9ae2-02420a0001a0.webp', 'width': 320}, {'caption': 'Another river', 'height': 256, 'image': 'https://cdn.mobygames.com/screenshots/16389350-bump-n-jump-arcade-another-river.png', 'thumbnail_image': 'https://cdn.mobygames.com/4a3d8b5c-c20c-11ed-ab6b-02420a000194.webp', 'width': 240}]"	800	https://cdn.mobygames.com/covers/3887792-bump-n-jump-intellivision-front-cover.jpg	['Intellivision']	https://cdn.mobygames.com/72b99b04-ab9e-11ed-a218-02420a00019e.webp	585
